"_id","_labels","Att_t_client","Budgt_alloc","Client","Competitors","CrossSale","Deal_type","Forml_tend","Growth","Needs_def","Partnership","Posit_statm","Purch_dept","RFI","RFP","Scope","Source","Status","Strat_deal","Up_sale","authority","comp_size","name","product","seller","_start","_end","_type"
"0",":Sale","Normal","No","Current","No","No","Project","No","Stable","Yes","No","Yes","No","No","No","Clear","Joint past","Won","Average important","Yes","High","Small","id-1047","Product A","Seller 1",,,
"1",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1442","Product A","Seller 1",,,
"2",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1423","Product A","Seller 1",,,
"3",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","Yes","Neutral","No","Yes","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1399","Product A","Seller 1",,,
"4",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","Yes","Yes","Yes","No","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Mid","id-1112","Product A","Seller 6",,,
"5",":Sale","Strategic account","Yes","Current","No","No","Maintenance","No","Stable","Info gathering","No","Yes","No","No","No","Few questions","Joint past","Won","Very important","Yes","Mid","Big","id-1113","Product A","Seller 3",,,
"6",":Sale","Strategic account","Yes","Current","No","No","Maintenance","No","Stable","Yes","No","Yes","No","No","Yes","Clear","Joint past","Won","Very important","Yes","High","Big","id-1111","Product A","Seller 3",,,
"7",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","No","Yes","No","No","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1177","Product A","Seller 3",,,
"8",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1217","Product A","Seller 3",,,
"9",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1362","Product A","Seller 1",,,
"10",":Sale","Normal","No","New","No","No","Solution","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Referral","Won","Average important","No","Mid","Big","id-1087","Product A","Seller 9",,,
"11",":Sale","Strategic account","Yes","Current","No","Yes","Project","No","Growth","Yes","No","Yes","Yes","No","Yes","Clear","Joint past","Won","Very important","No","Mid","Mid","id-1156","Product A","Seller 9",,,
"12",":Sale","Normal","No","Current","No","No","Project","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Mid","id-1246","Product A","Seller 9",,,
"13",":Sale","Normal","Yes","Current","No","No","Project","No","Stable","Yes","No","Yes","No","Yes","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Mid","id-1361","Product A","Seller 9",,,
"14",":Sale","Normal","No","Current","No","No","Project","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Mid","id-1268","Product A","Seller 9",,,
"15",":Sale","Normal","No","Current","No","No","Project","No","Stable","Yes","No","Yes","No","No","No","Clear","Joint past","Won","Average important","Yes","High","Small","id-1057","Product A","Seller 1",,,
"16",":Sale","Normal","No","Current","No","No","Maintenance","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Small","id-1099","Product A","Seller 1",,,
"17",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","Yes","Neutral","Yes","No","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1129","Product A","Seller 1",,,
"18",":Sale","Strategic account","No","Current","No","No","Project","No","Growth","Yes","No","Yes","No","No","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Mid","id-1135","Product A","Seller 1",,,
"19",":Sale","Strategic account","No","Current","No","Yes","Project","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Won","Average important","No","Mid","Big","id-1183","Product A","Seller 1",,,
"20",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","Yes","Neutral","No","Yes","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Mid","id-1230","Product A","Seller 1",,,
"21",":Sale","Strategic account","Yes","Current","No","No","Maintenance","No","Stable","No","No","Yes","No","No","No","Low","Joint past","Won","Very important","Yes","Mid","Big","id-1061","Product B","Seller 1",,,
"22",":Sale","Strategic account","Yes","Current","No","No","Maintenance","No","Growth","No","No","Yes","Yes","No","No","Low","Joint past","Won","Very important","Yes","Mid","Big","id-1063","Product B","Seller 1",,,
"23",":Sale","Strategic account","No","Current","Yes","No","Project","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Big","id-1026","Product B","Seller 1",,,
"24",":Sale","Strategic account","No","Current","Yes","No","Project","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Big","id-1027","Product B","Seller 1",,,
"25",":Sale","Strategic account","No","Current","No","No","Project","No","Stable","Yes","No","Yes","Yes","No","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Big","id-1042","Product B","Seller 1",,,
"26",":Sale","Strategic account","Yes","Current","No","No","Maintenance","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1082","Product B","Seller 1",,,
"27",":Sale","Normal","Yes","Current","No","No","Project","No","Stable","Yes","Yes","Yes","Yes","Yes","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Mid","id-1095","Product B","Seller 1",,,
"28",":Sale","Normal","Yes","Current","No","No","Maintenance","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Small","id-1097","Product B","Seller 1",,,
"29",":Sale","Strategic account","Yes","Current","No","No","Maintenance","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Big","id-1101","Product B","Seller 1",,,
"30",":Sale","Strategic account","No","Current","No","No","Project","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1104","Product B","Seller 1",,,
"31",":Sale","Strategic account","No","Current","No","No","Project","No","Stable","Yes","No","Yes","Yes","Yes","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Big","id-1158","Product B","Seller 1",,,
"32",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Big","id-1201","Product B","Seller 1",,,
"33",":Sale","Strategic account","No","Current","No","No","Project","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Big","id-1206","Product B","Seller 1",,,
"34",":Sale","Normal","No","Current","No","No","Project","No","Stable","Yes","Yes","Neutral","No","No","No","Clear","Joint past","Won","Average important","Yes","Mid","Mid","id-1209","Product B","Seller 1",,,
"35",":Sale","Strategic account","No","Current","No","No","Project","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1212","Product B","Seller 1",,,
"36",":Sale","Strategic account","Yes","Current","No","Yes","Project","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Won","Very important","No","Mid","Big","id-1213","Product B","Seller 1",,,
"37",":Sale","Normal","Yes","Current","No","No","Maintenance","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Small","id-1239","Product B","Seller 1",,,
"38",":Sale","Normal","No","Current","Yes","No","Project","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Mid","id-1289","Product B","Seller 1",,,
"39",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","Yes","Neutral","No","Yes","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1302","Product B","Seller 1",,,
"40",":Sale","Strategic account","No","Current","No","No","Project","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1321","Product B","Seller 1",,,
"41",":Sale","Normal","Yes","Current","No","No","Maintenance","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Small","id-1325","Product B","Seller 1",,,
"42",":Sale","Strategic account","No","Current","No","No","Project","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1326","Product B","Seller 1",,,
"43",":Sale","Strategic account","No","Current","No","No","Project","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1346","Product B","Seller 1",,,
"44",":Sale","Strategic account","Yes","Current","No","Yes","Project","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Won","Very important","No","Mid","Big","id-1349","Product B","Seller 1",,,
"45",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","Yes","Neutral","No","No","Yes","Clear","Joint past","Won","Very important","Yes","Mid","Big","id-1360","Product B","Seller 1",,,
"46",":Sale","Normal","No","New","Unknown","No","Project","No","Stable","No","No","Neutral","No","No","No","Few questions","Unknown","Won","Average important","No","Mid","Small","id-1005","Product C","Seller 1",,,
"47",":Sale","Normal","No","Current","No","No","Project","No","Stable","Yes","No","Yes","No","No","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Big","id-1010","Product C","Seller 12",,,
"48",":Sale","Normal","Yes","Current","No","No","Project","No","Stable","Yes","No","Yes","Unknown","No","No","Clear","Joint past","Won","Average important","Yes","Mid","Mid","id-1018","Product C","Seller 1",,,
"49",":Sale","Normal","Unknown","Current","No","No","Project","No","Stable","Yes","No","Yes","Unknown","No","No","Clear","Joint past","Won","Average important","Yes","Mid","Mid","id-1020","Product C","Seller 9",,,
"50",":Sale","Normal","Yes","Current","No","No","Project","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Mid","id-1023","Product C","Seller 10",,,
"51",":Sale","Normal","No","New","No","No","Consulting","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Won","Average important","No","Mid","Mid","id-1075","Product C","Seller 14",,,
"52",":Sale","Strategic account","No","Current","No","No","Consulting","No","Growth","No","No","Yes","No","No","No","Clear","Joint past","Won","Average important","Yes","High","Big","id-1089","Product C","Seller 14",,,
"53",":Sale","Strategic account","Yes","Current","No","No","Maintenance","No","Stable","Yes","No","Neutral","Yes","No","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Big","id-1090","Product C","Seller 14",,,
"54",":Sale","Normal","Yes","New","Yes","No","Solution","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Won","Average important","No","Mid","Mid","id-1298","Product C","Seller 9",,,
"55",":Sale","Normal","Yes","New","Yes","No","Solution","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Won","Average important","No","Mid","Mid","id-1313","Product C","Seller 9",,,
"56",":Sale","Strategic account","No","Current","No","No","Project","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Won","Average important","Yes","Mid","Big","id-1157","Product C","Seller 14",,,
